"id_ordpmt_cl,""timreaordvir"",""id_clihrs"",""id_ficref_pain001"",""indcta"",""nbrtrnlot"",""mntlot"",""codpcppmt"",""libtypvir"",""libtypsrv"",""libnomdbt"",""numprsorgdbt"",""numprsphydbt"",""cod_paydbt"",""cod_clectldbt"",""cod_inc_dbt"",""codbicisodbt"",""libnomdbtpcp"",""numprsorgdbtpcp"",""numprsphydbtpcp"",""nbrtrndtl_psr2"",""mntlotdtn_psr2"",""timrcpfic_psr2_ech"",""timcre_psr2"",""libnomfic_psr2_caps_ech"",""timrcpfic_psr2_vue"",""id_ordpmt_caps"",""libnomfic_psr2_caps_vue"",""codetagrpord_psr2"",""timreaeft"",""libmsgide_psr2"",""codetagrppmt_psr1"",""indordech_psr2"",""timcre_psr3"",""nbrtrnrej_cl"",""libnomfic_cam054_rej"",""nbrtrndbtcnf"",""mnttottrnrejcnf"",""nbrtrnrejcnf"",""timrcp_cr_srv"",""libnomfic_psr3"",""libmsgide_psr3"",""mnttottrndbtcnf"",""libnomfic_cr_caps_srv"",""nbrtrndbt_cl"",""datrgmord"",""codetaord_cr"",""indcta_bb"",""mnttottrnrej_cl"",""libmsgide_cam054_acc"",""mnttottrndbt_cl"",""libmsgide_cam054_rej"",""libnomfic_cam054_acc"",""libmsgide_cr"",""timctaord"",""timcre_cr"",""timcre_cam054_acc"",""timcre_cam054_rej"",""nbrtrndtn_psr2_rjct"",""mntlotdtn_psr2_accp"",""nbrtrndtn_psr2_accp"",""mntlotdtn_psr2_rjct"",""libnomfic_zos_rej"",""nbrtrndtn_psr1_rjct"",""mntentrcrt_cr"",""libinfplu_lot_psr2"",""timcre_zos_acc"",""mntenttyp_00000004"",""mntentrdbt_cr"",""mntenttyp_00000001"",""nbrtrndtn_psr1_accp"",""mntlotdtn_psr1_accp"",""timcre_zos_rej"",""mntlotdtn_psr1_rjct"",""nbrentrdbt_cr"",""libnomfic_zos_acc"",""mntenttyp_00000002"",""nbrtrndtl_psr1"",""nbrentrcrt_cr"",""mntlotdtn_psr1"",""libinfplu_lot_psr1"",""mntenttyp_00000003"""
"REM000000100955,""2024-06-04 00:00:00"",""1004077827"",P01_0000000000000000000100654,true,1,4.00,"""","""","""",CONDAT SAS,102421,,FR,""82"",""30002002600000000015U41"",CRLYFRPPXXX,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"REM000000100956,""2024-06-04 00:00:00"",""1004077827"",P01_0000000000000000000100655,true,1,5.00,"""","""","""",CONDAT SAS,102422,,FR,""82"",""30002002600000000015U41"",CRLYFRPPXXX,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"REM000000101000,""2024-06-19 00:00:00"",""2401081251"",P01_0000000000000000000100700,,11,100057.00,"""",INST,"""",CONDAT SAS,102481,,FR,""15"",""30002002600000000013S10"",CRLYFRPPXXX,"""",,,11,100057.00,,""2024-06-19 16:03:41"",,""2024-06-19 16:04:21.165583"",""1625b2b3cd494d3ea1a18686213d6a39"",HIN01PS2_20240619_16042000.xml,PART,""2024-06-19 00:00:00"",PR21625b2b3cd494d3ea1a18686213d6a39,ACTC,,""2024-06-19 16:10:11"",2,CAMT54_RJIP_20240619_16101200.xml,0,1.00,1,""2024-06-19 16:04:31.024082"",PSR3_LCL_20240619_16101100.xml,PR31625b2b3cd494d3ea1a18686213d6a39,0.00,HIN01CRD_20240619_16043000.xml,8,""2024-06-19"",CROB,true,100008.00,EIP1625b2b3cd494d3ea1a18686213d6a39,48.00,RIP1625b2b3cd494d3ea1a18686213d6a39,CAMT54_RIPE_20240619_16101200.xml,CR1625b2b3cd494d3ea1a18686213d6a39,""2024-06-19 16:03:41"",""2024-06-19 16:04:00"",""2024-06-19 16:10:12"",""2024-06-19 16:10:12"",2,49.00,9,100008.00,,0,100009.00,ACCT FR1530002002600000000013S10|NAME CONDAT SAS|DATE 2024-06-19T16:03:41|NARR DATE INITIALE 2024-06-19|NARR REF BANQUE REMISE 1625b2b3cd494d3ea1a18686213d6a39,""2024-06-19 16:08:14.966051"",1.00,48.00,48.00,11,100057.00,,0.00,8,TKECRBOB_REM000000101000_20240619_16081496.txt,0.00,11,3,100057.00,ACCT FR1530002002600000000013S10|NAME CONDAT SAS|NARR DATE INITIALE 2024-06-19|NARR REF BANQUE REMISE 1625b2b3cd494d3ea1a18686213d6a39,100008.00"
"REM000000101072,""2024-06-28 00:00:00"",""2401081251"",P01_0000000000000000000100762,,11,100057.00,HIGH,INST,"""",CONDAT SAS,102582,,FR,""15"",""30002002600000000013S10"",CRLYFRPPXXX,"""",,,11,100057.00,,""2024-07-01 17:22:45"",,""2024-07-01 17:24:31.007644"",c5072c2f66c543f4be78133dc0de3529,HIN01PS2_20240701_17243000.xml,PART,""2024-07-01 00:00:00"",PR2c5072c2f66c543f4be78133dc0de3529,ACTC,,""2024-07-01 17:30:10"",2,CAMT54_RJIP_20240701_17301100.xml,0,1.00,1,""2024-07-01 17:24:36.214624"",PSR3_LCL_20240701_17301000.xml,PR3c5072c2f66c543f4be78133dc0de3529,0.00,HIN01CRD_20240701_17243600.xml,8,""2024-07-01"",CROB,true,100008.00,EIPc5072c2f66c543f4be78133dc0de3529,48.00,RIPc5072c2f66c543f4be78133dc0de3529,CAMT54_RIPE_20240701_17301100.xml,CRc5072c2f66c543f4be78133dc0de3529,""2024-07-01 17:22:45"",""2024-07-01 17:22:55"",""2024-07-01 17:30:11"",""2024-07-01 17:30:11"",2,49.00,9,100008.00,,0,100009.00,ACCT FR1530002002600000000013S10|NAME CONDAT SAS|DATE 2024-07-01T17:22:45|NARR DATE INITIALE 2024-06-28|NARR REF BANQUE REMISE c5072c2f66c543f4be78133dc0de3529,""2024-07-01 17:28:12.318429"",1.00,48.00,48.00,11,100057.00,,0.00,8,TKECRBOB_REM000000101072_20240701_17281231.txt,0.00,11,3,100057.00,ACCT FR1530002002600000000013S10|NAME CONDAT SAS|NARR DATE INITIALE 2024-06-28|NARR REF BANQUE REMISE c5072c2f66c543f4be78133dc0de3529,100008.00"
"REM000000100989,""2024-06-05 00:00:00"",""1004077827"",P01_0000000000000000000100689,true,1,1.00,"""","""","""",CONDAT SAS,102455,,FR,""82"",""30002002600000000015U41"",CRLYFRPPXXX,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"REM000000100990,""2024-06-06 00:00:00"",""1004077827"",P01_0000000000000000000100690,true,1,1.00,"""","""","""",CONDAT SAS,102456,,FR,""82"",""30002002600000000015U41"",CRLYFRPPXXX,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"REM000000100991,""2024-06-06 00:00:00"",Deb Nom Nom id-clihrs  PmtInfId Fin,P01_0000000000000000000100691,false,15,105892.38,NORM,INST,Debut Categoriepurposelibtypsrv Fin,CAS028B,102457,,FR,""29"",""30002002600000000025W26"",CRLYFRPPXXX,Nom de Ultimate Debtorlibnomdbtpcp ordre,102458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"REM000000100992,""2024-06-07 00:00:00"",""1004077827"",P01_0000000000000000000100692,true,1,1.00,"""","""","""",CONDAT SAS,102476,,FR,""82"",""30002002600000000015U41"",CRLYFRPPXXX,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"REM000000100994,""2024-06-07 00:00:00"",""1004077827"",P01_0000000000000000000100695,true,1,1.00,"""","""","""",CONDAT SAS,102478,,FR,""82"",""30002002600000000015U41"",CRLYFRPPXXX,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"REM000000100995,""2024-06-07 00:00:00"",""1004077827"",P01_0000000000000000000100696,true,1,2.00,"""","""","""",CONDAT SAS,102479,,FR,""82"",""30002002600000000015U41"",CRLYFRPPXXX,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"REM000000100996,""2024-06-07 00:00:00"",""1004077827"",P01_0000000000000000000100697,true,1,3.00,"""","""","""",CONDAT SAS,102480,,FR,""82"",""30002002600000000015U41"",CRLYFRPPXXX,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"REM000000101003,""2024-06-20 00:00:00"",""1004077827"",P01_0000000000000000000100702,false,6,2974.74,"""","""","""",""7 - AGTUBES"",102485,,FR,""82"",""30002002600000000015U41"",CRLYFRPPXXX,"""",,,6,2974.74,,""2024-06-20 17:37:47"",,""2024-06-20 17:38:16.143874"",""363635ec8d5b4c6abfe85817b0d100c5"",HIN01PS2_20240620_17381500.xml,ACCP,""2024-06-20 00:00:00"",PR2363635ec8d5b4c6abfe85817b0d100c5,ACTC,,""2024-06-20 17:44:10"",2,CAMT54_RJIP_20240620_17441100.xml,0,2558.21,4,""2024-06-20 17:40:11.983722"",PSR3_LCL_20240620_17441000.xml,PR3363635ec8d5b4c6abfe85817b0d100c5,0.00,HIN01CRD_20240620_17401000.xml,0,,CROB,false,416.53,EIP363635ec8d5b4c6abfe85817b0d100c5,0.00,RIP363635ec8d5b4c6abfe85817b0d100c5,CAMT54_RIPE_20240620_17441100.xml,CR363635ec8d5b4c6abfe85817b0d100c5,""2024-06-20 17:37:47"",""2024-06-20 17:38:20"",""2024-06-20 17:44:11"",""2024-06-20 17:44:11"",0,2974.74,6,0.00,,0,2974.74,ACCT FR8230002002600000000015U41|NAME 7 - AGTUBES|DATE 2024-06-20T17:37:47|NARR DATE INITIALE 2024-06-20|NARR REF BANQUE REMISE 363635ec8d5b4c6abfe85817b0d100c5,""2024-06-20 17:42:14.538771"",2974.74,0.00,0.00,6,2974.74,,0.00,0,TKECRBOB_REM000000101003_20240620_17421453.txt,0.00,6,6,2974.74,ACCT FR8230002002600000000015U41|NAME 7 - AGTUBES|NARR DATE INITIALE 2024-06-20|NARR REF BANQUE REMISE 363635ec8d5b4c6abfe85817b0d100c5,0.00"
"REM000000101012,""2024-06-24 00:00:00"",""2401081251"",P01_0000000000000000000100709,,11,11.00,"""",INST,"""",CONDAT SAS,102522,,FR,""15"",""30002002600000000013S10"",CRLYFRPPXXX,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"REM000000101013,""2024-06-24 00:00:00"",""2401081252"",P01_0000000000000000000100709,,13,13.00,"""",INST,"""",CONDAT SAS,102521,,FR,""79"",""30002002600000000010B03"",CRLYFRPPXXX,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"REM000000101020,""2024-06-27 00:00:00"",""2401081251"",P01_0000000000000000000100715,,11,11.00,"""",INST,"""",CONDAT SAS,102530,,FR,""15"",""30002002600000000013S10"",CRLYFRPPXXX,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"REM000000101021,""2024-06-24 00:00:00"",""2401081252"",P01_0000000000000000000100715,,13,13.00,"""",INST,"""",CONDAT SAS,102529,,FR,""79"",""30002002600000000010B03"",CRLYFRPPXXX,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"REM000000101006,""2024-06-24 00:00:00"",""2401081252"",P01_0000000000000000000100704,,13,1421.00,"""",INST,"""",CONDAT SAS,102487,,FR,""79"",""30002002600000000010B03"",CRLYFRPPXXX,"""",,,13,1421.00,,""2024-06-24 16:38:02"",,""2024-06-24 16:38:31.477578"",""761d7b6cc6054760b8af2e1d38b2db43"",HIN01PS2_20240624_16383100.xml,RJCT,""2024-06-24 00:00:00"",PR2761d7b6cc6054760b8af2e1d38b2db43,ACTC,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.00,0,1421.00,,0,,ACCT FR7930002002600000000010B03|NAME CONDAT SAS|DATE 2024-06-24T16:38:02|NARR DATE INITIALE 2024-06-24|NARR REF BANQUE REMISE 761d7b6cc6054760b8af2e1d38b2db43,,,,,13,1421.00,,0.00,,,,13,,1421.00,ACCT FR7930002002600000000010B03|NAME CONDAT SAS|NARR DATE INITIALE 2024-06-24|NARR REF BANQUE REMISE 761d7b6cc6054760b8af2e1d38b2db43,"
